Timestamp Time cx cy vx vy area ratio da_dt cx_ cy_ vx_ vy_ area_ dir label ID
1636236039252799265 2021-11-06T23:00:39.252803 70.7511 148.291 5.95187 -27.9212 44188.9 0.428137 3935.08 76.703 120.37 5.95187 -27.9212 48124 -2 CAR 1
1636236039252970208 2021-11-06T23:00:39.252970 179.03 436.685 -1.19626 -3.25474 2811.45 0.942317 242.759 177.834 433.43 -1.19626 -3.25474 3054.21 -2 CAR 2
1636236039253084837 2021-11-06T23:00:39.253085 411.971 206.48 0.111357 -21.1674 15108.6 0.0934245 1105 412.082 185.313 0.111357 -21.1674 16213.6 -2 CAR 5
1636236039253236636 2021-11-06T23:00:39.253237 176.649 330.708 4.04801 -10.8604 8324.14 0.451028 393.036 180.697 319.847 4.04801 -10.8604 8717.18 -2 CAR 6
1636236039253384965 2021-11-06T23:00:39.253385 342.928 192.09 3.88635 15.0302 11879 0.555131 671.09 346.814 207.12 3.88635 15.0302 12550.1 2 CAR 44
1636236039253551100 2021-11-06T23:00:39.253551 481.358 152.312 0.808307 -55.8498 9941.7 0.5424 1639.63 482.166 96.4626 0.808307 -55.8498 11581.3 -2 CAR 166
1636236039253605405 2021-11-06T23:00:39.253605 137.033 12.9867 -2.42461 0.969842 1089.67 2.97361 31.6616 134.609 13.9566 -2.42461 0.969842 1121.33 2 CAR 168
1636236039253747083 2021-11-06T23:00:39.253747 49.5374 412.034 6.02557 -14.3492 12862.6 1.27687 2761.09 55.563 397.685 6.02557 -14.3492 15623.7 -2 CAR 222
1636236039253884588 2021-11-06T23:00:39.253884 164.22 469.935 -27.478 -0.356738 476.113 1.27045 23.5198 136.742 469.579 -27.478 -0.356738 499.633 -2 CAR 315
1636236039253964947 2021-11-06T23:00:39.253965 202.621 24.2487 5.88831 7.39245 227.909 1.06384 11.9389 208.509 31.6411 5.88831 7.39245 239.848 2 CAR 330
1636236039304975359 2021-11-06T23:00:39.304978 62.3179 244.734 4.32987 -13.8983 44404.9 0.39851 3579.48 66.6477 230.836 4.32987 -13.8983 47984.4 -2 CAR 1
1636236039305167875 2021-11-06T23:00:39.305185 173.305 435.796 -1.70626 -2.98834 4403.78 0.935896 372.883 171.598 432.808 -1.70626 -2.98834 4776.66 -2 CAR 2
1636236039305414848 2021-11-06T23:00:39.305415 291.388 467.091 0.970053 -0.0997291 1258.43 1.83564 60.1255 292.358 466.991 0.970053 -0.0997291 1318.56 1 CAR 3
1636236039305715202 2021-11-06T23:00:39.305715 411.365 266.625 0.0306156 -12.0116 14942.4 0.0973365 982.437 411.395 254.613 0.0306156 -12.0116 15924.8 -2 CAR 5
1636236039305884709 2021-11-06T23:00:39.305885 177.584 331.215 3.6975 -9.58034 9328.78 0.479112 452.006 181.281 321.635 3.6975 -9.58034 9780.79 -2 CAR 6
1636236039305994875 2021-11-06T23:00:39.305995 345.612 205.715 3.7516 14.8728 11315.1 0.542249 554.47 349.364 220.588 3.7516 14.8728 11869.5 2 CAR 44
1636236039306118625 2021-11-06T23:00:39.306118 467.641 249.86 -1.56459 -30.7893 10391.3 0.411659 1453.65 466.077 219.071 -1.56459 -30.7893 11845 -2 CAR 166
1636236039306195197 2021-11-06T23:00:39.306195 109.01 30.5219 -6.40585 3.54623 761.735 2.59762 -18.3454 102.605 34.0682 -6.40585 3.54623 743.39 2 CAR 168
1636236039306268536 2021-11-06T23:00:39.306268 29.9854 67.6943 0.713985 14.9937 8112.59 1.25499 1720.48 30.6994 82.6879 0.713985 14.9937 9833.06 2 CAR 314
1636236039306364149 2021-11-06T23:00:39.306364 178.436 39.7307 -4.94705 10.3072 286.63 1.1643 27.1124 173.489 50.0379 -4.94705 10.3072 313.743 2 CAR 330
1636236039363707060 2021-11-06T23:00:39.363710 56.3068 219.71 3.20992 -15.1033 31703 0.392611 2139.46 59.5168 204.607 3.20992 -15.1033 33842.5 -2 CAR 1
1636236039363840970 2021-11-06T23:00:39.363841 169.221 439.543 -1.96347 -2.25982 3313.69 0.975776 243.097 167.257 437.283 -1.96347 -2.25982 3556.79 -2 CAR 2
1636236039363954824 2021-11-06T23:00:39.363955 407.83 335.486 -0.355041 -3.26368 12174 0.105652 649.685 407.475 332.223 -0.355041 -3.26368 12823.7 -2 CAR 5
1636236039364044425 2021-11-06T23:00:39.364044 177.131 319.894 3.24852 -9.76868 6522.48 0.748131 162.948 180.379 310.125 3.24852 -9.76868 6685.43 -2 CAR 6
1636236039364146128 2021-11-06T23:00:39.364146 346.481 215.575 3.44087 14.3324 10924.3 0.524029 472.426 349.922 229.908 3.44087 14.3324 11396.8 2 CAR 44
1636236039364315692 2021-11-06T23:00:39.364333 465.346 216.31 -1.67177 -31.1945 7154.23 0.408402 797.587 463.675 185.115 -1.67177 -31.1945 7951.82 -2 CAR 166
1636236039364452335 2021-11-06T23:00:39.364452 106.966 52.4341 -5.76835 6.23084 1233.57 2.15246 45.2477 101.198 58.665 -5.76835 6.23084 1278.82 2 CAR 168
1636236039364558389 2021-11-06T23:00:39.364558 50.2712 406.376 3.94657 -10.1167 9812.1 1.15417 1230.13 54.2178 396.259 3.94657 -10.1167 11042.2 -2 CAR 222
1636236039364621158 2021-11-06T23:00:39.364621 34.6179 49.6521 1.54606 7.97864 7243.34 1.14229 1224.94 36.164 57.6307 1.54606 7.97864 8468.27 2 CAR 314
1636236039364736270 2021-11-06T23:00:39.364736 183.707 468.941 -35.1756 0.764687 801.007 1.15366 244.366 148.531 469.706 -35.1756 0.764687 1045.37 2 CAR 404
1636236039406636538 2021-11-06T23:00:39.406638 93.46 227.942 6.76649 -12.6583 58936.1 0.411556 4199.35 100.227 215.283 6.76649 -12.6583 63135.5 -2 CAR 1
1636236039406783398 2021-11-06T23:00:39.406783 415.732 288.565 0.509226 -7.83331 14292.2 0.102415 770.158 416.241 280.731 0.509226 -7.83331 15062.4 -2 CAR 5
1636236039406879959 2021-11-06T23:00:39.406880 210.455 234.887 6.39653 -17.6438 7624.77 0.810702 240.009 216.852 217.243 6.39653 -17.6438 7864.78 -2 CAR 6
1636236039406977548 2021-11-06T23:00:39.406977 351.292 235.242 3.58383 14.8891 11043.5 0.517537 444.075 354.875 250.131 3.58383 14.8891 11487.5 2 CAR 44
1636236039407087680 2021-11-06T23:00:39.407087 496.848 126.527 2.78641 -39.0683 8569.95 0.568289 875.447 499.634 87.4588 2.78641 -39.0683 9445.4 -2 CAR 166
1636236039407126803 2021-11-06T23:00:39.407127 506.411 21.4115 20.6465 7.64687 3826.8 2.01906 1637.1 527.058 29.0584 20.6465 7.64687 5463.9 2 CAR 479
1636236039460283967 2021-11-06T23:00:39.460286 179.825 445.104 -0.529253 -1.26489 2395.99 0.941793 136.261 179.296 443.839 -0.529253 -1.26489 2532.25 -2 CAR 2
1636236039460447071 2021-11-06T23:00:39.460447 354.957 246.097 3.59216 14.4791 10662.7 0.507869 382.571 358.55 260.576 3.59216 14.4791 11045.3 2 CAR 44
1636236039460587140 2021-11-06T23:00:39.460587 86.3751 50.7189 -6.8856 4.48145 799.829 1.68199 -12.9669 79.4895 55.2004 -6.8856 4.48145 786.862 2 CAR 168
1636236039460775415 2021-11-06T23:00:39.460775 66.9854 413.705 5.20538 -6.18339 5828.03 1.03307 344.834 72.1908 407.522 5.20538 -6.18339 6172.86 -2 CAR 222
1636236039460856113 2021-11-06T23:00:39.460856 37.9472 49.5684 1.58437 5.3878 5742.2 1.31287 624.142 39.5316 54.9562 1.58437 5.3878 6366.34 2 CAR 314
1636236039460986513 2021-11-06T23:00:39.460986 464.786 468 5.35834 0 360 0.625 0 470.144 468 5.35834 0 360 1 CAR 431
1636236039461037239 2021-11-06T23:00:39.461037 538.021 23.9264 26.2546 5.02169 1927.57 1.70145 145.256 564.276 28.9481 26.2546 5.02169 2072.83 2 CAR 479
1636236039510740723 2021-11-06T23:00:39.510743 81.4069 231.609 4.2966 -9.86038 69060.8 0.379169 4322.46 85.7034 221.749 4.2966 -9.86038 73383.3 -2 CAR 1
1636236039510944938 2021-11-06T23:00:39.510945 182.46 398.88 -0.219184 -5.67066 8116.83 0.78529 532.684 182.241 393.209 -0.219184 -5.67066 8649.51 -2 CAR 2
1636236039511028277 2021-11-06T23:00:39.511028 294.562 470.448 1.11481 0.224646 829.045 1.86145 13.934 295.676 470.673 1.11481 0.224646 842.979 2 CAR 3
1636236039511152133 2021-11-06T23:00:39.511152 424.699 247.387 1.27587 -10.2941 18407.7 0.100309 953.073 425.974 237.093 1.27587 -10.2941 19360.8 -2 CAR 5
1636236039511244121 2021-11-06T23:00:39.511244 216.852 199.91 5.77956 -17.6138 8127.55 0.802261 241.625 222.632 182.296 5.77956 -17.6138 8369.17 -2 CAR 6
1636236039511384422 2021-11-06T23:00:39.511385 354.247 256.256 3.16414 14.0494 10910.7 0.517321 373.206 357.411 270.305 3.16414 14.0494 11283.9 2 CAR 44
1636236039511626163 2021-11-06T23:00:39.511626 535.135 199.146 6.54009 -21.7703 48403.9 0.513423 4815.67 541.675 177.376 6.54009 -21.7703 53219.6 -2 CAR 166
1636236039511792513 2021-11-06T23:00:39.511793 315.017 435.319 -0.622095 -11.8198 848.676 1.5544 111.632 314.395 423.5 -0.622095 -11.8198 960.308 -2 CAR 430
1636236039511982065 2021-11-06T23:00:39.511983 238.946 468.107 1.33958 -2.67917 526.199 1.24619 133.885 240.286 465.428 1.33958 -2.67917 660.084 -2 CAR 481
1636236039512066108 2021-11-06T23:00:39.512066 319.964 9.98214 0.893057 0.446528 515.197 1.35157 24.9254 320.857 10.4287 0.893057 0.446528 540.122 2 CAR 482
1636236039512147365 2021-11-06T23:00:39.512148 215.821 8.03572 4.46528 -0.893057 439.605 1.78453 -122.49 220.287 7.14267 4.46528 -0.893057 317.115 -2 CAR 483
1636236039565021744 2021-11-06T23:00:39.565023 195.905 366.742 1.10996 -8.24512 7705.27 0.655042 469.883 197.015 358.497 1.10996 -8.24512 8175.15 -2 CAR 2
1636236039565136268 2021-11-06T23:00:39.565136 436.741 151.036 2.31161 -18.5728 13941.5 0.0990026 592.571 439.053 132.463 2.31161 -18.5728 14534.1 -2 CAR 5
1636236039565268212 2021-11-06T23:00:39.565268 236.316 187.472 7.09598 -17.1159 5941.03 0.687855 80.098 243.412 170.356 7.09598 -17.1159 6021.13 -2 CAR 6
1636236039565400485 2021-11-06T23:00:39.565400 363.703 278.636 3.77909 14.8635 10684.1 0.509726 334.07 367.483 293.499 3.77909 14.8635 11018.1 2 CAR 44
1636236039565536884 2021-11-06T23:00:39.565537 90.3445 74.1922 -4.94656 6.06743 986.241 1.21853 7.15573 85.398 80.2596 -4.94656 6.06743 993.396 2 CAR 168
1636236039565687734 2021-11-06T23:00:39.565688 61.0775 418.669 3.2366 -4.09245 10154.7 1.02443 748.445 64.3141 414.577 3.2366 -4.09245 10903.1 -2 CAR 222
1636236039565774274 2021-11-06T23:00:39.565774 57.1547 51.1938 3.69678 4.18266 5670.73 1.32227 461.228 60.8514 55.3764 3.69678 4.18266 6131.96 2 CAR 314
1636236039565916114 2021-11-06T23:00:39.565916 135.835 89.1012 -7.35271 10.0156 3314.28 0.953308 409.521 128.483 99.1168 -7.35271 10.0156 3723.8 2 CAR 330
1636236039565990970 2021-11-06T23:00:39.565991 572.282 30.4413 21.3576 4.07477 848.614 1.33548 -199.637 593.64 34.5161 21.3576 4.07477 648.977 2 CAR 479
1636236039566114560 2021-11-06T23:00:39.566114 223.503 457.994 -4.50882 -5.26955 380.429 1.1406 49.0692 218.994 452.725 -4.50882 -5.26955 429.498 -2 CAR 481
1636236039566158680 2021-11-06T23:00:39.566158 589.916 12.0168 3.11047 -0.622095 225.553 0.965731 -4.02518 593.026 11.3947 3.11047 -0.622095 221.527 -2 CAR 490
1636236039566201657 2021-11-06T23:00:39.566201 52.8214 7.21433 4.46528 -5.35834 237.108 1.08998 4.629 57.2867 1.85599 4.46528 -5.35834 241.737 -2 CAR 521
1636236039566259726 2021-11-06T23:00:39.566260 493.125 21.8393 -3.1257 4.01875 358.578 0.950553 -8.18977 489.999 25.858 -3.1257 4.01875 350.388 2 CAR 523
1636236039616053079 2021-11-06T23:00:39.616056 111.097 233.854 6.24057 -7.83639 92738.7 0.41624 5267.17 117.337 226.018 6.24057 -7.83639 98005.8 -2 CAR 1
1636236039616234851 2021-11-06T23:00:39.616235 203.564 356.859 1.74036 -8.40278 8203.55 0.59028 471.66 205.304 348.457 1.74036 -8.40278 8675.21 -2 CAR 2
1636236039616422066 2021-11-06T23:00:39.616422 439.676 266.308 2.37132 -5.74635 13384.9 0.109461 520.682 442.047 260.561 2.37132 -5.74635 13905.5 -2 CAR 5
1636236039616564954 2021-11-06T23:00:39.616565 253.005 193.138 8.01531 -14.9327 5785.46 0.671575 65.3565 261.02 178.205 8.01531 -14.9327 5850.82 -2 CAR 6
1636236039616713416 2021-11-06T23:00:39.616713 366.511 294.483 3.68548 14.9582 10784.2 0.504304 319.711 370.196 309.441 3.68548 14.9582 11103.9 2 CAR 44
1636236039616862807 2021-11-06T23:00:39.616863 500.626 423.12 9.5273 -9.46626 6163.48 0.572679 1139.97 510.153 413.654 9.5273 -9.46626 7303.45 -2 CAR 431
1636236039617003947 2021-11-06T23:00:39.617004 207.901 452.928 -7.55268 -5.21366 2046.11 1.13724 458.21 200.348 447.715 -7.55268 -5.21366 2504.32 -2 CAR 481
1636236039617054607 2021-11-06T23:00:39.617054 322.864 11.8776 1.18701 0.711124 311.482 1.24254 -35.9686 324.051 12.5887 1.18701 0.711124 275.513 2 CAR 482
1636236039670614293 2021-11-06T23:00:39.670617 115.096 235.406 6.03168 -6.96123 102280 0.434257 5520.67 121.128 228.445 6.03168 -6.96123 107801 -2 CAR 1
1636236039670775511 2021-11-06T23:00:39.670775 203.139 352.744 1.53417 -7.99443 8631.1 0.547945 469.056 204.674 344.749 1.53417 -7.99443 9100.15 -2 CAR 2
1636236039670925429 2021-11-06T23:00:39.670925 435.463 275.922 1.74515 -4.28553 13573.7 0.102513 501.098 437.208 271.636 1.74515 -4.28553 14074.8 -2 CAR 5
1636236039671046511 2021-11-06T23:00:39.671046 254.454 195.765 7.3908 -13.2627 5843.27 0.668249 64.9108 261.844 182.502 7.3908 -13.2627 5908.18 -2 CAR 6
1636236039671151065 2021-11-06T23:00:39.671151 363.516 307.187 3.04972 14.7437 10487.3 0.508219 283.979 366.566 321.931 3.04972 14.7437 10771.3 2 CAR 44
1636236039671333866 2021-11-06T23:00:39.671334 526.062 292.081 3.75514 -6.41078 53089.9 0.486035 4031.31 529.817 285.67 3.75514 -6.41078 57121.2 -2 CAR 166
1636236039671507963 2021-11-06T23:00:39.671508 324.884 380.811 1.47232 -15.2199 449.33 1.34331 -10.8669 326.357 365.592 1.47232 -15.2199 438.463 -2 CAR 430
1636236039671610723 2021-11-06T23:00:39.671610 198.67 451.491 -7.92818 -4.36855 2987 1.1511 562.317 190.742 447.123 -7.92818 -4.36855 3549.32 -2 CAR 481
1636236039671647258 2021-11-06T23:00:39.671647 321.087 14.3528 0.535466 1.09895 564.692 1.12018 23.3846 321.623 15.4517 0.535466 1.09895 588.077 2 CAR 482
1636236039671681423 2021-11-06T23:00:39.671681 583.075 10.9688 0.319087 -0.580163 245.868 0.979252 1.54688 583.394 10.3887 0.319087 -0.580163 247.415 -2 CAR 490
1636236039671718705 2021-11-06T23:00:39.671718 436.99 24.9466 0.47599 2.61794 636.46 0.600679 80.1066 437.466 27.5646 0.47599 2.61794 716.567 2 CAR 522
1636236039671760991 2021-11-06T23:00:39.671761 515.503 29.0954 4.43161 3.81251 4645.01 1.25318 1025.13 519.935 32.9079 4.43161 3.81251 5670.15 2 CAR 523
